aia_filenames,aia_iso_dates,aia_wavelengths,eve_indices,eve_dates,time_delta
aia_lev1_193a_2012_09_12t00_00_06_84z_image_lev1.fits,2012-09-12 00:00:06+00:00,193a,1244100,2012-09-12 00:00:10+00:00,0 days 00:00:04
aia_lev1_304a_2012_12_20t00_00_07_12z_image_lev1.fits,2012-12-20 00:00:07+00:00,304a,1386360,2012-12-20 00:00:06+00:00,0 days 00:00:01
aia_lev1_304a_2012_09_16t00_00_07_14z_image_lev1.fits,2012-09-16 00:00:07+00:00,304a,1249860,2012-09-16 00:00:11+00:00,0 days 00:00:04
aia_lev1_171a_2011_05_02t00_00_00_34z_image_lev1.fits,2011-05-02 00:00:00+00:00,171a,527040,2011-05-02 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2012_11_01t00_00_11_35z_image_lev1.fits,2012-11-01 00:00:11+00:00,171a,1315800,2012-11-01 00:00:13+00:00,0 days 00:00:02
aia_lev1_171a_2012_10_17t00_00_11_34z_image_lev1.fits,2012-10-17 00:00:11+00:00,171a,1294200,2012-10-17 00:00:09+00:00,0 days 00:00:02
aia_lev1_193a_2011_03_30t00_00_07_84z_image_lev1.fits,2011-03-30 00:00:07+00:00,193a,479520,2011-03-30 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_05_29t00_00_07_84z_image_lev1.fits,2012-05-29 00:00:07+00:00,193a,1092960,2012-05-29 00:00:05+00:00,0 days 00:00:02
aia_lev1_171a_2012_06_05t00_00_00_34z_image_lev1.fits,2012-06-05 00:00:00+00:00,171a,1103040,2012-06-05 00:00:07+00:00,0 days 00:00:07
aia_lev1_304a_2012_10_26t00_00_07_12z_image_lev1.fits,2012-10-26 00:00:07+00:00,304a,1307160,2012-10-26 00:00:12+00:00,0 days 00:00:05
aia_lev1_211a_2011_02_16t00_00_00_62z_image_lev1.fits,2011-02-16 00:00:00+00:00,211a,419040,2011-02-16 00:00:13+00:00,0 days 00:00:13
aia_lev1_304a_2011_03_17t00_00_08_12z_image_lev1.fits,2011-03-17 00:00:08+00:00,304a,460800,2011-03-17 00:00:11+00:00,0 days 00:00:03
aia_lev1_193a_2011_04_21t00_00_07_84z_image_lev1.fits,2011-04-21 00:00:07+00:00,193a,511200,2011-04-21 00:00:10+00:00,0 days 00:00:03
aia_lev1_304a_2012_09_05t00_00_07_13z_image_lev1.fits,2012-09-05 00:00:07+00:00,304a,1234020,2012-09-05 00:00:08+00:00,0 days 00:00:01
aia_lev1_304a_2012_07_19t00_00_07_12z_image_lev1.fits,2012-07-19 00:00:07+00:00,304a,1166400,2012-07-19 00:00:07+00:00,0 days 00:00:00
aia_lev1_193a_2012_06_29t00_00_07_84z_image_lev1.fits,2012-06-29 00:00:07+00:00,193a,1137600,2012-06-29 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2011_06_21t00_00_00_34z_image_lev1.fits,2011-06-21 00:00:00+00:00,171a,599040,2011-06-21 00:00:05+00:00,0 days 00:00:05
aia_lev1_211a_2011_02_10t00_00_00_62z_image_lev1.fits,2011-02-10 00:00:00+00:00,211a,410400,2011-02-10 00:00:11+00:00,0 days 00:00:11
aia_lev1_304a_2012_04_08t00_00_08_12z_image_lev1.fits,2012-04-08 00:00:08+00:00,304a,1019520,2012-04-08 00:00:13+00:00,0 days 00:00:05
aia_lev1_193a_2012_05_12t00_00_07_84z_image_lev1.fits,2012-05-12 00:00:07+00:00,193a,1068480,2012-05-12 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_04_29t00_00_07_84z_image_lev1.fits,2012-04-29 00:00:07+00:00,193a,1049760,2012-04-29 00:00:08+00:00,0 days 00:00:01
aia_lev1_193a_2012_04_09t00_00_07_84z_image_lev1.fits,2012-04-09 00:00:07+00:00,193a,1020960,2012-04-09 00:00:13+00:00,0 days 00:00:06
aia_lev1_171a_2012_04_22t00_00_00_34z_image_lev1.fits,2012-04-22 00:00:00+00:00,171a,1039680,2012-04-22 00:00:06+00:00,0 days 00:00:06
aia_lev1_171a_2011_05_30t00_00_00_35z_image_lev1.fits,2011-05-30 00:00:00+00:00,171a,567360,2011-05-30 00:00:10+00:00,0 days 00:00:10
aia_lev1_304a_2011_04_12t00_00_08_12z_image_lev1.fits,2011-04-12 00:00:08+00:00,304a,498240,2011-04-12 00:00:08+00:00,0 days 00:00:00
aia_lev1_193a_2012_03_16t00_00_07_84z_image_lev1.fits,2012-03-16 00:00:07+00:00,193a,986400,2012-03-16 00:00:06+00:00,0 days 00:00:01
aia_lev1_304a_2012_10_10t00_00_07_12z_image_lev1.fits,2012-10-10 00:00:07+00:00,304a,1284120,2012-10-10 00:00:08+00:00,0 days 00:00:01
aia_lev1_193a_2012_03_02t00_00_07_84z_image_lev1.fits,2012-03-02 00:00:07+00:00,193a,966240,2012-03-02 00:00:11+00:00,0 days 00:00:04
aia_lev1_304a_2012_03_27t00_00_08_12z_image_lev1.fits,2012-03-27 00:00:08+00:00,304a,1002240,2012-03-27 00:00:09+00:00,0 days 00:00:01
aia_lev1_304a_2011_04_30t00_00_08_12z_image_lev1.fits,2011-04-30 00:00:08+00:00,304a,524160,2011-04-30 00:00:13+00:00,0 days 00:00:05
aia_lev1_211a_2011_03_14t00_00_00_63z_image_lev1.fits,2011-03-14 00:00:00+00:00,211a,456480,2011-03-14 00:00:10+00:00,0 days 00:00:10
aia_lev1_193a_2012_04_19t00_00_07_84z_image_lev1.fits,2012-04-19 00:00:07+00:00,193a,1035360,2012-04-19 00:00:06+00:00,0 days 00:00:01
aia_lev1_304a_2011_06_25t00_00_08_12z_image_lev1.fits,2011-06-25 00:00:08+00:00,304a,604800,2011-06-25 00:00:06+00:00,0 days 00:00:02
aia_lev1_304a_2011_05_24t00_00_08_12z_image_lev1.fits,2011-05-24 00:00:08+00:00,304a,558720,2011-05-24 00:00:08+00:00,0 days 00:00:00
aia_lev1_304a_2012_06_30t00_00_08_12z_image_lev1.fits,2012-06-30 00:00:08+00:00,304a,1139040,2012-06-30 00:00:13+00:00,0 days 00:00:05
aia_lev1_193a_2011_05_03t00_00_07_84z_image_lev1.fits,2011-05-03 00:00:07+00:00,193a,528480,2011-05-03 00:00:13+00:00,0 days 00:00:06
aia_lev1_193a_2011_04_09t00_00_07_84z_image_lev1.fits,2011-04-09 00:00:07+00:00,193a,493920,2011-04-09 00:00:07+00:00,0 days 00:00:00
aia_lev1_193a_2011_05_20t00_00_07_84z_image_lev1.fits,2011-05-20 00:00:07+00:00,193a,552960,2011-05-20 00:00:07+00:00,0 days 00:00:00
aia_lev1_171a_2011_05_17t00_00_00_34z_image_lev1.fits,2011-05-17 00:00:00+00:00,171a,548640,2011-05-17 00:00:07+00:00,0 days 00:00:07
aia_lev1_211a_2011_01_26t00_00_00_62z_image_lev1.fits,2011-01-26 00:00:00+00:00,211a,388800,2011-01-26 00:00:07+00:00,0 days 00:00:07
aia_lev1_193a_2012_03_04t00_00_07_84z_image_lev1.fits,2012-03-04 00:00:07+00:00,193a,969120,2012-03-04 00:00:12+00:00,0 days 00:00:05
aia_lev1_193a_2012_05_10t00_00_07_84z_image_lev1.fits,2012-05-10 00:00:07+00:00,193a,1065600,2012-05-10 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_12_13t00_00_06_84z_image_lev1.fits,2012-12-13 00:00:06+00:00,193a,1376280,2012-12-13 00:00:14+00:00,0 days 00:00:08
aia_lev1_304a_2012_09_03t00_00_07_12z_image_lev1.fits,2012-09-03 00:00:07+00:00,304a,1231140,2012-09-03 00:00:07+00:00,0 days 00:00:00
aia_lev1_304a_2012_03_18t00_00_08_12z_image_lev1.fits,2012-03-18 00:00:08+00:00,304a,989280,2012-03-18 00:00:06+00:00,0 days 00:00:02
aia_lev1_193a_2012_06_24t00_00_07_84z_image_lev1.fits,2012-06-24 00:00:07+00:00,193a,1130400,2012-06-24 00:00:12+00:00,0 days 00:00:05
aia_lev1_193a_2012_04_28t00_00_08_95z_image_lev1.fits,2012-04-28 00:00:08+00:00,193a,1048320,2012-04-28 00:00:08+00:00,0 days 00:00:00
aia_lev1_304a_2012_07_07t00_00_07_12z_image_lev1.fits,2012-07-07 00:00:07+00:00,304a,1149120,2012-07-07 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2011_03_12t00_00_07_84z_image_lev1.fits,2011-03-12 00:00:07+00:00,193a,453600,2011-03-12 00:00:09+00:00,0 days 00:00:02
aia_lev1_304a_2012_05_23t00_00_08_12z_image_lev1.fits,2012-05-23 00:00:08+00:00,304a,1084320,2012-05-23 00:00:14+00:00,0 days 00:00:06
aia_lev1_171a_2011_04_20t00_00_00_34z_image_lev1.fits,2011-04-20 00:00:00+00:00,171a,509760,2011-04-20 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2012_11_02t00_00_11_34z_image_lev1.fits,2012-11-02 00:00:11+00:00,171a,1317240,2012-11-02 00:00:13+00:00,0 days 00:00:02
aia_lev1_193a_2011_02_21t00_00_07_84z_image_lev1.fits,2011-02-21 00:00:07+00:00,193a,426240,2011-02-21 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_04_26t00_00_07_84z_image_lev1.fits,2012-04-26 00:00:07+00:00,193a,1045440,2012-04-26 00:00:07+00:00,0 days 00:00:00
aia_lev1_304a_2011_03_24t00_00_08_12z_image_lev1.fits,2011-03-24 00:00:08+00:00,304a,470880,2011-03-24 00:00:13+00:00,0 days 00:00:05
aia_lev1_171a_2011_06_15t00_00_00_34z_image_lev1.fits,2011-06-15 00:00:00+00:00,171a,590400,2011-06-15 00:00:14+00:00,0 days 00:00:14
aia_lev1_304a_2012_08_04t00_00_07_12z_image_lev1.fits,2012-08-04 00:00:07+00:00,304a,1188600,2012-08-04 00:00:10+00:00,0 days 00:00:03
